"class","sensitivity","specificity","model","accuracy"
1,0.728070175438597,0.85,"binary",0.785046728971963
0,0.785,0.842105263157895,"multiclass",0.785046728971963
1,0.673076923076923,0.968085106382979,"multiclass",0.785046728971963
2,0.896551724137931,0.929618768328446,"multiclass",0.785046728971963
3,0.742857142857143,0.977653631284916,"multiclass",0.785046728971963
4,0.736842105263158,0.970660146699266,"multiclass",0.785046728971963
